ÉØ¹ØÎ÷
logicID 000
2067 257 4 2.467 2 2
16 16 0 4 3 0 3 0 16
X -1137 0 1 0 
XF -1137 0 2 0 
SII -361 1 2 0 
XII 240 0 2 0 
S4 -361 1 4 0 
X4 240 0 4 0 
S6 -341 1 6 0 
X6 220 0 6 0 
S5 -341 1 5 0 
X5 220 0 5 0 
S3 -361 1 3 0 
X3 240 0 3 0 
SI -361 1 1 0 
XI 240 0 1 0 
SF 1330 1 1 0 
S 1330 1 2 0 
1 -1060 1 4
3 -912 2 3
17 -527 4 4
15 -653 2 4
11 -527 3 1
9 -653 1 1
5 -856 2 1
7 -708 1 2
6 735 2 3
8 587 1 4
18 406 3 3
16 532 1 3
12 406 4 2
10 532 2 2
2 1189 1 2
4 1041 2 1
1/3 1 3 1DG 3DG 
5/7 5 7 5DG 7DG 
2/4 2 4 2DG 4DG 
6/8 6 8 6DG 8DG 
3G 3 9 16 0 0 2 2 0
5G 5 11 18 0 0 2 2 0
4G 4 15 10 0 0 2 2 0
6G 6 17 12 0 0 2 2 0
801 1 7 1
802 7 9 1
803 901 9 5
804 902 16 5
805 16 8 1
806 8 6 1
807 6 4 1
809 8 2 1
815 1 3 1
816 3 5 1
817 5 15 1
818 10 6 1
821 4 2 1
823 905 15 5
824 906 10 5
829 5 7 1
